"treeID","x","y","height_m"
1,712465,3910058.6,2.08800005912781
2,712467.4,3910057.8,3.02299904823303
3,712469.8,3910056.2,3.22900140285492
4,712477.8,3910053.8,4.92899751663208
5,712479.8,3910053,3.72399997711182
6,712482.6,3910051.8,2.89000272750854
7,712471.8,3910044.6,2.04200100898743
8,712467.4,3910043.8,9.91800022125244
9,712463.4,3910043.4,8.09699821472168
10,712473.8,3910043.4,6.20500230789185
11,712458.2,3910043,10.7795000076294
12,712479.8,3910041.8,2.61599802970886
13,712476.6,3910041.4,7.62599658966064
14,712468.2,3910040.6,9.60200309753418
15,712483,3910040.6,2.16199707984924
16,712458.2,3910040.2,11.9859991073608
17,712466.2,3910040.2,9.49199867248535
18,712473.4,3910039.8,9.91200160980225
19,712455.8,3910039.4,12.7230024337769
20,712455,3910037.8,12.8439998626709
21,712467.8,3910037.8,9.99300098419189
22,712475,3910037.4,6.68400192260742
23,712490.6,3910037.4,12.4779996871948
24,712489.4,3910036.6,12.4930019378662
25,712487.8,3910035.4,12.3279981613159
26,712498.2,3910035.4,7.08799648284912
27,712455.4,3910035,12.4270000457764
28,712499.8,3910034.6,7.10799694061279
29,712462.6,3910034.2,8.2869987487793
30,712447,3910033.4,7.84299850463867
31,712451.8,3910032.2,10.8579993247986
32,712491.8,3910032.2,13.7409973144531
33,712472.2,3910031.8,7.5350022315979
34,712475,3910030.6,10.419002532959
35,712456.6,3910030.2,6.5740008354187
36,712477.4,3910030.2,10.7769994735718
37,712449.8,3910029.8,11.0649995803833
38,712464.2,3910029.8,5.28499937057495
39,712486.2,3910029.8,12.6730012893677
40,712470.6,3910029.4,2.86799931526184
41,712466.2,3910029,4.96999931335449
42,712494.2,3910029,18.6640033721924
43,712474.6,3910028.2,9.26000308990479
44,712507,3910028.2,2.61200141906738
45,712448.6,3910027.8,9.63200187683105
46,712519.8,3910027.8,6.59200191497803
47,712457,3910027.4,11.9129972457886
48,712468.6,3910027,4.05600166320801
49,712473.8,3910026.6,9.7420015335083
50,712498.6,3910026.6,10.0900001525879
51,712447,3910026.2,9.18300151824951
52,712465,3910026.2,3.42800188064575
53,712475.4,3910026.2,9.73900032043457
54,712480.2,3910025.8,10.0990037918091
55,712491.4,3910025.4,11.5949993133545
56,712514.2,3910025.4,10.068998336792
57,712489.4,3910024.6,9.93399715423584
58,712503,3910024.6,2.10400223731995
59,712465.8,3910024.2,3.73000192642212
60,712484.2,3910024.2,9.08999919891357
61,712444.2,3910023.8,10.1179971694946
62,712521.8,3910023.8,8.02700328826904
63,712470.6,3910023.4,4.47499895095825
64,712445.8,3910022.6,10.2479963302612
65,712484.6,3910022.6,9.76499843597412
66,712477,3910022.2,9.38399887084961
67,712454.6,3910021.8,5.08199787139893
68,712530.6,3910020.6,2.24800157546997
69,712540.6,3910020.6,14.5679979324341
70,712481,3910020.2,12.4500017166138
71,712484.6,3910020.2,8.29700374603271
72,712443.8,3910019.8,9.97000217437744
73,712468.6,3910019.8,7.2680025100708
74,712472.6,3910019.8,7.00499725341797
75,712526.6,3910019.8,2.59400320053101
76,712448.6,3910019,8.49199962615967
77,712458.2,3910019,6.79199838638306
78,712509,3910018.6,13.7849979400635
79,712518.6,3910018.2,12.0719976425171
80,712522.2,3910018.2,11.895001411438
81,712442.2,3910017.8,10.5659990310669
82,712523.8,3910017.8,12.2200031280518
83,712439.4,3910017.4,7.76600027084351
84,712465.4,3910016.6,12.4980030059814
85,712511.8,3910016.6,13.798996925354
86,712446.2,3910015.8,8.34200191497803
87,712473.8,3910015.8,2.50299906730652
88,712519,3910015.8,11.2180004119873
89,712439.4,3910015.4,8.7659969329834
90,712485.4,3910015.4,12.1440029144287
91,712527.8,3910015.4,10.6269960403442
92,712524.6,3910015,12.1570014953613
93,712496.2,3910014.6,13.5170011520386
94,712539.8,3910014.2,17.625997543335
95,712457,3910013.8,12.4549989700317
96,712469.4,3910013.8,2.47500085830688
97,712485.8,3910013.8,12.3099975585938
98,712439,3910013.4,8.30699729919434
99,712455,3910013.4,12.6279993057251
100,712526.6,3910013.4,10.144003868103
101,712491,3910013,3.92299866676331
102,712542.2,3910013,18.6700019836426
103,712483.8,3910012.6,12.3159971237183
104,712544.2,3910012.6,18.7210006713867
105,712441.4,3910012.2,9.22100353240967
106,712448.2,3910011.8,6.5949969291687
107,712438.2,3910011.4,8.26599979400635
108,712550.6,3910011,17.2430000305176
109,712561.8,3910011,2.18900060653687
110,712529.4,3910010.6,3.54600024223328
111,712533.4,3910010.2,9.65799713134766
112,712446.2,3910009.8,9.22800159454346
113,712455.8,3910009.8,10.6509981155396
114,712479.4,3910009.8,8.2350025177002
115,712489.4,3910009.8,2.2599995136261
116,712522.6,3910009.8,22.9990005493164
117,712541.8,3910008.6,17.491003036499
118,712444.2,3910008.2,8.29199981689453
119,712561.4,3910008.2,3.4940037727356
120,712434.6,3910007.8,9.02400207519531
121,712471.4,3910007.8,7.52699995040894
122,712481.8,3910007.8,7.88899850845337
123,712559.4,3910007.4,2.27599787712097
124,712430.2,3910007,4.9590015411377
125,712458.6,3910007,11.335000038147
126,712457,3910005.8,10.7560014724731
127,712468.2,3910005.8,7.45600366592407
128,712489,3910005.8,3.00399804115295
129,712513.4,3910005.8,5.24100303649902
130,712533,3910005.8,11.3489980697632
131,712570.6,3910005.8,9.85099601745605
132,712484.6,3910005.4,2.20600152015686
133,712463,3910005,3.28899836540222
134,712519.8,3910005,7.67000198364258
135,712434.2,3910004.6,7.63399696350098
136,712478.6,3910003.8,7.19399833679199
137,712521,3910003.8,7.70899820327759
138,712574.2,3910003.8,9.73699760437012
139,712469,3910003.4,7.24699687957764
140,712582.2,3910003.4,2.09900307655334
